train | [001/020] loss=6.12286, acc=0.18564
[ Valid | 001/020 ] loss = 2.51419, acc = 0.17325 -> best
train | [002/020] loss=2.28247, acc=0.24233
[ Valid | 002/020 ] loss = 2.28327, acc = 0.27300 -> best
train | [003/020] loss=2.19250, acc=0.27437
[ Valid | 003/020 ] loss = 2.22300, acc = 0.29145 -> best
train | [004/020] loss=2.11893, acc=0.30912
[ Valid | 004/020 ] loss = 2.11849, acc = 0.30528 -> best
train | [005/020] loss=2.09364, acc=0.31253
[ Valid | 005/020 ] loss = 2.04934, acc = 0.31673 -> best
train | [006/020] loss=2.04424, acc=0.33209
[ Valid | 006/020 ] loss = 2.03126, acc = 0.33977 -> best
train | [007/020] loss=2.01345, acc=0.35049
[ Valid | 007/020 ] loss = 2.04031, acc = 0.34296 -> best
train | [008/020] loss=1.97179, acc=0.36558
[ Valid | 008/020 ] loss = 1.98252, acc = 0.35110 -> best
train | [009/020] loss=1.94246, acc=0.37635
[ Valid | 009/020 ] loss = 1.97513, acc = 0.36483 -> best
train | [010/020] loss=1.90554, acc=0.38880
[ Valid | 010/020 ] loss = 1.89227, acc = 0.39839 -> best
train | [011/020] loss=1.85177, acc=0.41732
[ Valid | 011/020 ] loss = 1.96154, acc = 0.38529
train | [012/020] loss=1.80396, acc=0.43234
[ Valid | 012/020 ] loss = 1.80834, acc = 0.43815 -> best
train | [013/020] loss=1.75895, acc=0.45207
[ Valid | 013/020 ] loss = 1.85955, acc = 0.40187
train | [014/020] loss=1.70514, acc=0.47912
[ Valid | 014/020 ] loss = 1.93942, acc = 0.37928
train | [015/020] loss=1.65158, acc=0.49298
[ Valid | 015/020 ] loss = 1.77108, acc = 0.45010 -> best
train | [016/020] loss=1.59944, acc=0.52708
[ Valid | 016/020 ] loss = 1.86305, acc = 0.43498
train | [017/020] loss=1.55568, acc=0.53968
[ Valid | 017/020 ] loss = 1.64391, acc = 0.49443 -> best
train | [018/020] loss=1.49004, acc=0.56827
[ Valid | 018/020 ] loss = 1.66922, acc = 0.49115
train | [019/020] loss=1.45751, acc=0.59094
[ Valid | 019/020 ] loss = 1.71586, acc = 0.49199
train | [020/020] loss=1.40573, acc=0.61872
[ Valid | 020/020 ] loss = 1.54167, acc = 0.54009 -> best
train | [001/020] loss=1.40454, acc=0.62212
[ Valid | 001/020 ] loss = 1.42214, acc = 0.61180 -> best
train | [002/020] loss=1.34658, acc=0.64642
[ Valid | 002/020 ] loss = 1.40874, acc = 0.62039 -> best
train | [003/020] loss=1.31159, acc=0.67288
[ Valid | 003/020 ] loss = 1.33943, acc = 0.64726 -> best
train | [004/020] loss=1.26990, acc=0.69308
[ Valid | 004/020 ] loss = 1.36319, acc = 0.62155
train | [005/020] loss=1.24926, acc=0.70717
[ Valid | 005/020 ] loss = 1.33812, acc = 0.64898 -> best
train | [006/020] loss=1.22689, acc=0.72363
[ Valid | 006/020 ] loss = 1.27231, acc = 0.68976 -> best
train | [007/020] loss=1.18819, acc=0.74743
[ Valid | 007/020 ] loss = 1.28404, acc = 0.68867
train | [008/020] loss=1.18328, acc=0.75217
[ Valid | 008/020 ] loss = 1.30687, acc = 0.67701
train | [009/020] loss=1.16029, acc=0.75574
